Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR16684375	56.19722930487484	50.0	51.0	51	20.0	56167603.0
SRR16684376	55.297392476601914	49.0	51.0	51	20.0	60930832.0
SRR16684377	56.20995432370552	50.0	51.0	51	20.0	51297008.0
SRR16684378	53.81697161659828	50.0	51.0	51	20.0	49751422.0
SRR16684379	52.86560058195644	50.0	51.0	51	20.0	51014962.0
SRR16684380	56.01251060536907	49.0	51.0	51	20.0	59352224.0
SRR16684381	53.31712551918037	49.0	51.0	51	20.0	52303371.0
SRR16684382	55.09141786228974	50.0	51.0	51	20.0	62688853.0
SRR16684383	54.33044965774974	50.0	51.0	51	20.0	50143052.0
SRR16684384	52.83117786014636	50.0	51.0	51	20.0	53967404.0
SRR16684385	54.9190002503726	49.0	51.0	51	20.0	61631632.0
