Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
SRR16684375	4.2	56167603	17686069	56167603	2864547753	29979014	2809278167	1.9294349672515303
SRR16684376	4.2	60930832	19389226	60930832	3107472432	32060811	3047682665	1.924064277587773
SRR16684377	4.2	51297008	15922137	51297008	2616147408	29687866	2563066034	2.0289901798989147
SRR16684378	4.2	49751422	15849961	49751422	2537322522	25465621	2489239865	1.8950155757928515
SRR16684379	4.2	51014962	16170771	51014962	2601763062	27714585	2550430176	1.9730038737862596
SRR16684380	4.2	59352224	18850413	59352224	3026963424	30956325	2968966402	1.9160133069384588
SRR16684381	4.2	52303371	16741388	52303371	2667471921	28440833	2614614306	1.9815621894225743
SRR16684382	4.2	62688853	19864015	62688853	3197131503	34579291	3134270945	1.9661549092058102
SRR16684383	4.2	50143052	15933737	50143052	2557295652	26077590	2508680406	1.9010412801499572
SRR16684384	4.2	53967404	17133300	53967404	2752337604	31319373	2696654769	2.02311064307938
SRR16684385	4.2	61631632	19706813	61631632	3143213232	32016819	3083156445	1.9106812859077453
