Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
SRR16684375	80156159	29285226	0	0	0	0	0	0	0	37664761	0	0	11596032	0	1610140	36.53521621463923
SRR16684376	84377007	30974527	0	0	0	0	0	0	0	37266571	0	0	14466069	0	1669840	36.70967731766072
SRR16684377	73198319	26108593	0	0	0	0	0	0	0	35035631	0	0	10575727	0	1478368	35.66829587985484
SRR16684378	69869972	26476991	0	0	0	0	0	0	0	31600571	0	0	10330015	0	1462395	37.89466381924412
SRR16684379	70845509	25944515	0	0	0	0	0	0	0	31591763	0	0	11890786	0	1418445	36.62125569596797
SRR16684380	82511488	31226592	0	0	0	0	0	0	0	36479503	0	0	13137593	0	1667800	37.84514466640088
SRR16684381	70963859	27639041	0	0	0	0	0	0	0	29738803	0	0	12142740	0	1443275	38.948052416371546
SRR16684382	85401114	33201492	0	0	0	0	0	0	0	36364867	0	0	14115186	0	1719569	38.877118160308775
SRR16684383	70155826	26576775	0	0	0	0	0	0	0	31567376	0	0	10578007	0	1433668	37.8824917548544
SRR16684384	74387860	26477541	0	0	0	0	0	0	0	33153262	0	0	13309221	0	1447836	35.593900671426766
SRR16684385	86516616	30151595	0	0	0	0	0	0	0	40386581	0	0	14324919	0	1653521	34.85064071391789
