Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR16684375	55.07259598109109	50.0	50.04322311444376	51	20.0	56127191.0
SRR16684376	54.14909037949244	49.0	50.04802143596302	51	20.0	60883852.0
SRR16684377	55.17828603445864	51.0	50.0078842916719	51	20.0	51242016.0
SRR16684378	52.60286294815469	50.0	50.058565304923604	51	20.0	49717798.0
SRR16684379	51.83343065568648	50.0	50.03300172498033	51	20.0	50964639.0
SRR16684380	54.80383419848025	50.0	50.05308639212889	51	20.0	59305669.0
SRR16684381	52.16977368321217	49.0	50.02989960121055	51	20.0	52250630.0
SRR16684382	54.02207144042582	50.0	50.02459535216718	51	20.0	62641754.0
SRR16684383	53.1947766866636	50.0	50.05358916707393	51	20.0	50110930.0
SRR16684384	51.856494015595125	50.0	49.99723432938718	51	20.0	53923992.0
SRR16684385	53.759868359476485	49.0	50.05183443398891	51	20.0	61587689.0
