Sample	QoRTs_mqc-generalstats-qorts-Genes_PercentWithNonzeroCounts	QoRTs_mqc-generalstats-qorts-NumberOfChromosomesCovered	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR16684375	49.54920189440449	47.0	36.53521621463923	29285226	75.71	42491398.0	1.9294349672515303	55.07259598109109	50.0	50.04322311444376	51	20.0	56127191.0
SRR16684376	51.94001052446939	50.0	36.70967731766072	30974527	77.38	47110436.0	1.924064277587773	54.14909037949244	49.0	50.04802143596302	51	20.0	60883852.0
SRR16684377	50.29819329942116	48.0	35.66829587985484	26108593	74.48	38162688.0	2.0289901798989147	55.17828603445864	51.0	50.0078842916719	51	20.0	51242016.0
SRR16684378	49.64041396246272	50.0	37.89466381924412	26476991	76.97	38269401.0	1.8950155757928515	52.60286294815469	50.0	50.058565304923604	51	20.0	49717798.0
SRR16684379	49.964918435362215	49.0	36.62125569596797	25944515	77.02	39253746.0	1.9730038737862596	51.83343065568648	50.0	50.03300172498033	51	20.0	50964639.0
SRR16684380	50.06840905104367	49.0	37.84514466640088	31226592	77.62	46031985.0	1.9160133069384588	54.80383419848025	50.0	50.05308639212889	51	20.0	59305669.0
SRR16684381	49.79301876863708	49.0	38.948052416371546	27639041	78.9	41225056.0	1.9815621894225743	52.16977368321217	49.0	50.02989960121055	51	20.0	52250630.0
SRR16684382	51.897912646904054	48.0	38.877118160308775	33201492	78.28	49036247.0	1.9661549092058102	54.02207144042582	50.0	50.02459535216718	51	20.0	62641754.0
SRR16684383	50.099982459217685	47.0	37.8824917548544	26576775	77.01	38588450.0	1.9010412801499572	53.1947766866636	50.0	50.05358916707393	51	20.0	50110930.0
SRR16684384	52.47149622873181	50.0	35.593900671426766	26477541	76.47	41234598.0	2.02311064307938	51.856494015595125	50.0	49.99723432938718	51	20.0	53923992.0
SRR16684385	54.25714786879495	49.0	34.85064071391789	30151595	74.9	46130035.0	1.9106812859077453	53.759868359476485	49.0	50.05183443398891	51	20.0	61587689.0
