Sample	Stranded_Rule_Code	READ_PAIR_OK	TOTAL_READ_PAIRS	DROPPED_NOT_PROPER_PAIR	DROPPED_READ_FAILS_VENDOR_QC	DROPPED_MARKED_NOT_VALID	DROPPED_CHROMS_MISMATCH	DROPPED_PAIR_STRANDS_MISMATCH	DROPPED_IGNORED_CHROMOSOME	DROPPED_NOT_UNIQUE_ALIGNMENT	DROPPED_NO_ALN_BLOCKS	DROPPED_NOT_MARKED_RG	KEPT_NOT_UNIQUE_ALIGNMENT	minObservedReadLength	maxObservedReadLength	maxLegalPhredScore	IS_SINGLE_END	PREALIGNMENT_READ_CT	BENCHMARK_MinutesOnSamIteration	BENCHMARK_MinutesPerMillionReads	BENCHMARK_MinutesPerMillionGoodReads	ReadPairs_AmbigGene	ReadPairs_UniqueGene	ReadPairs_UniqueGene_CDS	ReadPairs_UniqueGene_UTR	ReadPairs_NoGene	ReadPairs_NoGene_Intron	ReadPairs_NoGene_OneKbFromGene	ReadPairs_NoGene_TenKbFromGene	ReadPairs_NoGene_MiddleOfNowhere	Genes_Total	Genes_WithZeroCounts	Genes_WithNonzeroCounts	AVG_GC	AggregateGenes	AggregateGenes_NoReads	AggregateGenes_WithReads	SpliceLoci	SpliceLoci_Known	SpliceLoci_Known_NoReads	SpliceLoci_Known_FewReads	SpliceLoci_Known_ManyReads	SpliceLoci_Novel	SpliceLoci_Novel_FewReads	SpliceLoci_Novel_ManyReads	SpliceEvents	SpliceEvents_KnownLoci	SpliceEvents_KnownLociWithFewReads	SpliceEvents_KnownLociWithManyReads	SpliceEvents_NovelLoci	SpliceEvents_NovelLociWithFewReads	SpliceEvents_NovelLociWithManyReads	StrandTest_frFirstStrand	StrandTest_frSecondStrand	StrandTest_ambig_genesFountOnBothStrands	StrandTest_ambig_noGenes	StrandTest_ambig_other	StrandTest_STRANDEDNESS_MATCHES_INFERRED	NumberOfChromosomesCovered	deletionLoci	insertionLoci	deletionEventCt	insertionEventCt	highCoverageDeletionLoci	highCoverageInsertionLoci	NumReadsAtMaxReadLength_R1	NumReadsAtMaxReadLength_R2	NumReadsTruncated_R1	NumReadsTruncated_R2	NumReadsTruncated_25pct_R1	NumReadsTruncated_25pct_R2	NumReadsTruncated_50pct_R1	NumReadsTruncated_50pct_R2	NumReadsTruncated_75pct_R1	NumReadsTruncated_75pct_R2	READ_LENGTH	COMPLETED_WITHOUT_WARNING	QoRTs_initTimeStamp	QoRTs_samDoneTimeStamp	QoRTs_majorVer	QoRTs_minorVer	QoRTs_patchVer	QoRTs_compileTimeStamp	COMPLETED_WITHOUT_ERROR	Genes_PercentWithNonzeroCounts
SRR16684375	1.0	42491398.0	54480249.0	-1.0	0.0	0.0	-1.0	-1.0	0.0	11988851.0	0.0	-1.0	0.0	20.0	51.0	41.0	1.0	-1.0	35.8	0.66	0.84	867948.0	29757874.0	17289349.0	12468525.0	11865576.0	9887505.0	374684.0	916390.0	686997.0	57010.0	28762.0	28248.0	0.4917920653790417	54730.0	27163.0	27567.0	318098.0	290014.0	146551.0	32847.0	110616.0	28084.0	26834.0	1250.0	4371904.0	4328855.0	56333.0	4272522.0	43049.0	31513.0	11536.0	29819247.0	269544.0	806575.0	11596032.0	0.0	1.0	47.0	44800.0	31718.0	64272.0	61804.0	557.0	649.0	26135556.0	0.0	16355842.0	0.0	0.0	0.0	53983.0	0.0	455180.0	0.0	51.0	0.0	1677292915966.0	1677295161736.0	1.0	3.0	6.0	1537888906.0	1.0	49.54920189440449
SRR16684376	1.0	47110436.0	58662004.0	-1.0	0.0	0.0	-1.0	-1.0	0.0	11551568.0	0.0	-1.0	0.0	20.0	51.0	41.0	1.0	-1.0	43.93	0.75	0.93	886907.0	31425728.0	18327613.0	13098115.0	14797801.0	12074705.0	440912.0	1144490.0	1137694.0	57010.0	27399.0	29611.0	0.48676369684818416	54730.0	25828.0	28902.0	323160.0	290014.0	145208.0	32735.0	112071.0	33146.0	31693.0	1453.0	4665821.0	4616075.0	55857.0	4560218.0	49746.0	37210.0	12536.0	31447206.0	331732.0	865429.0	14466069.0	0.0	1.0	50.0	49976.0	35128.0	73829.0	67063.0	629.0	661.0	29009442.0	0.0	18100994.0	0.0	0.0	0.0	61780.0	0.0	504968.0	0.0	51.0	0.0	1677295230468.0	1677297964142.0	1.0	3.0	6.0	1537888906.0	1.0	51.94001052446939
SRR16684377	1.0	38162688.0	49050975.0	-1.0	0.0	0.0	-1.0	-1.0	0.0	10888287.0	0.0	-1.0	0.0	20.0	51.0	41.0	1.0	-1.0	36.77	0.75	0.96	797808.0	26277843.0	15724802.0	10553041.0	11087037.0	8415887.0	525362.0	1067237.0	1078551.0	57010.0	28335.0	28675.0	0.49855602432183316	54730.0	26749.0	27981.0	318759.0	290014.0	147326.0	33816.0	108872.0	28745.0	27506.0	1239.0	3989894.0	3945702.0	58275.0	3887427.0	44192.0	32238.0	11954.0	26317941.0	511310.0	757710.0	10575727.0	0.0	1.0	48.0	37438.0	25341.0	56368.0	54657.0	520.0	506.0	23621672.0	0.0	14541016.0	0.0	0.0	0.0	57437.0	0.0	452670.0	0.0	51.0	0.0	1677298030702.0	1677300412892.0	1.0	3.0	6.0	1537888906.0	1.0	50.29819329942116
SRR16684378	1.0	38269401.0	48067048.0	-1.0	0.0	0.0	-1.0	-1.0	0.0	9797647.0	0.0	-1.0	0.0	20.0	51.0	41.0	1.0	-1.0	33.53	0.7	0.88	770753.0	26869181.0	15683303.0	11185878.0	10629467.0	8582273.0	399083.0	899556.0	748555.0	57010.0	28710.0	28300.0	0.4910977662054442	54730.0	27123.0	27607.0	316575.0	290014.0	146929.0	33447.0	109638.0	26561.0	25511.0	1050.0	4015704.0	3976064.0	57518.0	3918546.0	39640.0	29763.0	9877.0	26883212.0	299452.0	756722.0	10330015.0	0.0	1.0	50.0	41449.0	28749.0	59187.0	54241.0	487.0	532.0	23580155.0	0.0	14689246.0	0.0	0.0	0.0	47562.0	0.0	395552.0	0.0	51.0	0.0	1677300535703.0	1677302735092.0	1.0	3.0	6.0	1537888906.0	1.0	49.64041396246272
SRR16684379	1.0	39253746.0	49062947.0	-1.0	0.0	0.0	-1.0	-1.0	0.0	9809201.0	0.0	-1.0	0.0	20.0	51.0	41.0	1.0	-1.0	34.78	0.71	0.89	745168.0	26301460.0	15404312.0	10897148.0	12207118.0	9862717.0	389498.0	993438.0	961465.0	57010.0	28525.0	28485.0	0.4923957750300181	54730.0	26939.0	27791.0	318988.0	290014.0	147533.0	33509.0	108972.0	28974.0	27728.0	1246.0	3903594.0	3860693.0	57425.0	3803268.0	42901.0	32566.0	10335.0	26310746.0	316332.0	735882.0	11890786.0	0.0	1.0	49.0	41541.0	29247.0	60263.0	56771.0	495.0	492.0	24184910.0	0.0	15068836.0	0.0	0.0	0.0	52311.0	0.0	431523.0	0.0	51.0	0.0	1677302869241.0	1677305139898.0	1.0	3.0	6.0	1537888906.0	1.0	49.964918435362215
SRR16684380	1.0	46031985.0	57407850.0	-1.0	0.0	0.0	-1.0	-1.0	0.0	11375865.0	0.0	-1.0	0.0	20.0	51.0	41.0	1.0	-1.0	38.72	0.67	0.84	857727.0	31475628.0	18422571.0	13053057.0	13698630.0	10951506.0	594655.0	1229100.0	923369.0	57010.0	28466.0	28544.0	0.48980065312519366	54730.0	26885.0	27845.0	319292.0	290014.0	146166.0	32233.0	111615.0	29278.0	27946.0	1332.0	4725803.0	4681670.0	55080.0	4626590.0	44133.0	33096.0	11037.0	31456172.0	561037.0	877183.0	13137593.0	0.0	1.0	49.0	48163.0	34379.0	69463.0	70652.0	528.0	716.0	28438642.0	0.0	17593343.0	0.0	0.0	0.0	56189.0	0.0	479401.0	0.0	51.0	0.0	1677305271389.0	1677307691336.0	1.0	3.0	6.0	1537888906.0	1.0	50.06840905104367
SRR16684381	1.0	41225056.0	50422948.0	-1.0	0.0	0.0	-1.0	-1.0	0.0	9197892.0	0.0	-1.0	0.0	20.0	51.0	41.0	1.0	-1.0	35.8	0.71	0.87	727218.0	27885654.0	16181962.0	11703692.0	12612184.0	10147716.0	511353.0	1063060.0	890055.0	57010.0	28623.0	28387.0	0.48910538739128095	54730.0	27036.0	27694.0	315391.0	290014.0	146798.0	32496.0	110720.0	25377.0	24323.0	1054.0	4125287.0	4087698.0	55973.0	4031725.0	37589.0	28738.0	8851.0	27843307.0	469444.0	769565.0	12142740.0	0.0	1.0	49.0	44186.0	32041.0	63931.0	62490.0	564.0	640.0	25371215.0	0.0	15853841.0	0.0	0.0	0.0	54684.0	0.0	446824.0	0.0	51.0	0.0	1677307765290.0	1677310095890.0	1.0	3.0	6.0	1537888906.0	1.0	49.79301876863708
SRR16684382	1.0	49036247.0	60417757.0	-1.0	0.0	0.0	-1.0	-1.0	0.0	11381510.0	0.0	-1.0	0.0	20.0	51.0	41.0	1.0	-1.0	40.4	0.67	0.82	875043.0	33681652.0	19385570.0	14296082.0	14479552.0	11654586.0	488627.0	1250690.0	1085649.0	57010.0	27423.0	29587.0	0.49123827177089846	54730.0	25874.0	28856.0	327332.0	290014.0	139921.0	32344.0	117749.0	37318.0	35518.0	1800.0	4988997.0	4930658.0	55192.0	4875466.0	58339.0	42168.0	16171.0	33637338.0	364366.0	919357.0	14115186.0	0.0	1.0	48.0	51044.0	36295.0	75403.0	71841.0	651.0	758.0	30231186.0	0.0	18805061.0	0.0	0.0	0.0	67791.0	0.0	551927.0	0.0	51.0	0.0	1677310217634.0	1677312732820.0	1.0	3.0	6.0	1537888906.0	1.0	51.897912646904054
SRR16684383	1.0	38588450.0	48505381.0	-1.0	0.0	0.0	-1.0	-1.0	0.0	9916931.0	0.0	-1.0	0.0	20.0	51.0	41.0	1.0	-1.0	34.87	0.72	0.9	746706.0	26999216.0	15756731.0	11242485.0	10842528.0	8734099.0	375979.0	924182.0	808268.0	57010.0	28448.0	28562.0	0.4907372410362416	54730.0	26862.0	27868.0	319721.0	290014.0	144980.0	34212.0	110822.0	29707.0	28374.0	1333.0	4064498.0	4019313.0	58890.0	3960423.0	45185.0	33421.0	11764.0	27006147.0	264521.0	739775.0	10578007.0	0.0	1.0	47.0	41314.0	28826.0	59279.0	55863.0	497.0	577.0	23773245.0	0.0	14815205.0	0.0	0.0	0.0	48705.0	0.0	405329.0	0.0	51.0	0.0	1677312800117.0	1677315067307.0	1.0	3.0	6.0	1537888906.0	1.0	50.099982459217685
SRR16684384	1.0	41234598.0	51420647.0	-1.0	0.0	0.0	-1.0	-1.0	0.0	10186049.0	0.0	-1.0	0.0	20.0	51.0	41.0	1.0	-1.0	34.43	0.67	0.84	763038.0	26841751.0	15670064.0	11171687.0	13629809.0	10533256.0	431681.0	1182630.0	1482242.0	57010.0	27096.0	29914.0	0.4923968689844367	54730.0	25532.0	29198.0	322900.0	290014.0	144398.0	33783.0	111833.0	32886.0	31422.0	1464.0	3995996.0	3945768.0	57956.0	3887812.0	50228.0	36842.0	13386.0	26850141.0	320588.0	754648.0	13309221.0	0.0	1.0	50.0	45028.0	30181.0	66723.0	59458.0	607.0	516.0	25299709.0	0.0	15934889.0	0.0	0.0	0.0	62356.0	0.0	492821.0	0.0	51.0	0.0	1677315187781.0	1677317428363.0	1.0	3.0	6.0	1537888906.0	1.0	52.47149622873181
