Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
SRR16684375	56127191.0	50.0	42491398.0	75.71	49.95	4371904.0	4331731.0	4323495.0	36974.0	4823.0	6612.0	0.26	0.0	1.47	0.0	1.2	11988851.0	21.36	725166.0	1.29	0.0	1.08	0.56	0	607023	314753
SRR16684376	60883852.0	50.0	47110436.0	77.38	49.96	4665821.0	4621626.0	4613738.0	38815.0	5199.0	8069.0	0.26	0.0	1.44	0.0	1.22	11551568.0	18.97	915743.0	1.5	0.0	1.43	0.71	0	872771	433334
SRR16684377	51242016.0	50.0	38162688.0	74.48	49.9	3989894.0	3950454.0	3944555.0	34110.0	4455.0	6774.0	0.31	0.0	1.48	0.0	1.21	10888287.0	21.25	853160.0	1.66	0.0	1.97	0.64	0	1009818	328063
SRR16684378	49717798.0	50.0	38269401.0	76.97	49.97	4015704.0	3979892.0	3971867.0	33381.0	4469.0	5987.0	0.26	0.0	1.46	0.0	1.2	9797647.0	19.71	710121.0	1.43	0.0	1.29	0.6	0	642017	298612
SRR16684379	50964639.0	50.0	39253746.0	77.02	49.93	3903594.0	3865989.0	3861404.0	31616.0	4339.0	6235.0	0.29	0.0	1.45	0.0	1.21	9809201.0	19.25	763115.0	1.5	0.0	1.56	0.67	0	796493	342084
SRR16684380	59305669.0	50.0	46031985.0	77.62	49.95	4725803.0	4685363.0	4675353.0	38193.0	5173.0	7084.0	0.27	0.0	1.45	0.0	1.19	11375865.0	19.18	771757.0	1.3	0.0	1.36	0.54	0	806023	320039
SRR16684381	52250630.0	50.0	41225056.0	78.9	49.94	4125287.0	4090254.0	4080700.0	33199.0	4738.0	6650.0	0.27	0.0	1.45	0.0	1.21	9197892.0	17.6	679208.0	1.3	0.0	1.57	0.63	0	819593	328881
SRR16684382	62641754.0	50.0	49036247.0	78.28	49.93	4988997.0	4937122.0	4934626.0	40593.0	5626.0	8152.0	0.28	0.0	1.49	0.0	1.2	11381510.0	18.17	816117.0	1.3	0.0	1.63	0.62	0	1019931	387949
SRR16684383	50110930.0	50.0	38588450.0	77.01	49.95	4064498.0	4021830.0	4019611.0	33713.0	4541.0	6633.0	0.27	0.0	1.48	0.0	1.21	9916931.0	19.79	665289.0	1.33	0.0	1.27	0.6	0	638572	301688
SRR16684384	53923992.0	49.0	41234598.0	76.47	49.9	3995996.0	3948796.0	3950507.0	32725.0	4553.0	8211.0	0.31	0.0	1.45	0.0	1.21	10186049.0	18.89	924412.0	1.71	0.0	2.09	0.83	0	1130127	448806
SRR16684385	61587689.0	50.0	46130035.0	74.9	49.94	4613459.0	4555367.0	4560726.0	38213.0	5235.0	9285.0	0.31	0.0	1.41	0.0	1.2	12212060.0	19.83	1504916.0	2.44	0.0	1.73	1.1	0	1064089	676589
